city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Sydney,House,689.0,14,Entire home/apt,Avalon,151.31642,-33.62564,72,72
Sydney,House,350.0,8,Entire home/apt,Surry Hills,151.2154,-33.88424,1,1
Sydney,Townhouse,75.0,2,Private room,Redfern,151.20036,-33.89368,17,17
Sydney,Apartment,43.0,1,Private room,Randwick,151.24591,-33.91446,94,94
Sydney,Apartment,350.0,5,Entire home/apt,Tamarama,151.27248,-33.89868,2,2
Sydney,Apartment,115.0,2,Entire home/apt,Kingsford,151.23721,-33.93316,2,2
Sydney,Guest suite,88.0,7,Entire home/apt,0,150.95347,-33.76119,123,123
Sydney,House,399.0,4,Entire home/apt,Rose Bay/Dover Heights,151.27395,-33.87128,0,0
Sydney,House,2000.0,5,Entire home/apt,North Bondi,151.27836,-33.88816,0,0
Sydney,Apartment,225.0,1,Private room,0,151.25417,-33.87964,2,2
Sydney,Apartment,135.0,2,Private room,0,151.18622,-33.92391,3,3
Sydney,Apartment,240.0,2,Entire home/apt,Randwick,151.24573,-33.91571,2,2
Sydney,House,300.0,5,Entire home/apt,Surry Hills,151.21271,-33.88871,1,1
Sydney,Townhouse,119.0,2,Private room,Glebe,151.18334,-33.88081,0,0
Sydney,House,999.0,6,Entire home/apt,Bronte,151.26372,-33.90277,3,3
Sydney,Loft,225.0,6,Entire home/apt,Rosebery,151.20181,-33.91585,100,100
Sydney,Apartment,171.0,4,Entire home/apt,North Bondi,151.27247,-33.88472,3,3
Sydney,Apartment,169.0,3,Entire home/apt,Bondi Beach,151.2729,-33.8949,87,87
Sydney,Apartment,350.0,2,Entire home/apt,0,151.28247,-33.79309,2,2
Sydney,Apartment,171.0,5,Entire home/apt,Malabar,151.25151,-33.96629,144,144
Sydney,Cabin,109.0,2,Entire home/apt,Petersham,151.1561,-33.89618,80,80
Sydney,Apartment,100.0,2,Entire home/apt,Kensington,151.22424,-33.91078,47,47
Sydney,House,280.0,4,Entire home/apt,Manly,151.27912,-33.79106,4,4
Sydney,Townhouse,380.0,8,Entire home/apt,Millers Point,151.20532,-33.86119,31,31
