city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Montreal,Loft,125.0,2,Entire home/apt,Quartier des Spectacles,-73.563,45.51406,27,27
Montreal,Apartment,75.0,4,Entire home/apt,Mile End,-73.59285,45.52707,12,12
Montreal,Apartment,85.0,4,Entire home/apt,Hochelaga-Maisonneuve,-73.55208,45.55157,150,150
Montreal,Apartment,94.0,6,Entire home/apt,Gay Village,-73.55553,45.52006,20,20
Montreal,Apartment,44.0,2,Private room,Le Plateau,-73.58217,45.5369,19,19
Montreal,Apartment,25.0,1,Private room,Ville-Marie,-73.5571,45.52621,5,5
Montreal,Apartment,60.0,2,Entire home/apt,La Petite-Patrie,-73.58808,45.54144,0,0
Montreal,Apartment,58.0,4,Entire home/apt,Verdun,-73.57098,45.45145,97,97
Montreal,Apartment,115.0,4,Entire home/apt,Outremont,-73.61799,45.51719,4,4
Montreal,Apartment,81.0,2,Entire home/apt,Westmount,-73.6053,45.48849,1,1
Montreal,Loft,137.0,3,Entire home/apt,Downtown Montreal,-73.58,45.49484,83,83
Montreal,Apartment,46.0,2,Private room,Outremont,-73.61179,45.52445,2,2
Montreal,Apartment,50.0,5,Entire home/apt,Downtown Montreal,-73.58133,45.4971,45,45
Montreal,Apartment,140.0,4,Entire home/apt,Le Plateau,-73.57534,45.53431,3,3
Montreal,Apartment,110.0,3,Entire home/apt,Downtown Montreal,-73.57844,45.49455,30,30
Montreal,Apartment,40.0,2,Private room,La Petite-Patrie,-73.59605,45.54842,37,37
Montreal,Apartment,39.0,2,Entire home/apt,Downtown Toronto,-73.56211,45.5301,4,4
Montreal,Apartment,95.0,2,Entire home/apt,Villeray-Saint-Michel-Parc-Extension,-73.61051,45.54517,5,5
Montreal,Apartment,68.0,2,Private room,Le Plateau,-73.56963,45.51895,112,112
Montreal,Apartment,101.0,4,Entire home/apt,Gay Village,-73.55957,45.51836,35,35
Montreal,Serviced apartment,189.0,4,Entire home/apt,Le Plateau,-73.5699,45.49533,86,86
Montreal,Condominium,82.0,4,Entire home/apt,Downtown Montreal,-73.57005,45.49243,119,119
Montreal,Apartment,99.0,3,Entire home/apt,Downtown Montreal,-73.58089,45.49545,152,152
Montreal,Apartment,75.0,3,Entire home/apt,Quartier des Spectacles,-73.55963,45.51301,2,2
Montreal,Apartment,50.0,2,Private room,Le Plateau,-73.57684,45.53454,6,6
Montreal,Apartment,85.0,4,Entire home/apt,Gay Village,-73.59851,45.51693,16,16
Montreal,Apartment,90.0,4,Entire home/apt,Downtown Montreal,-73.55529,45.51525,4,4
Montreal,Apartment,27.0,1,Entire home/apt,Le Plateau,-73.591,45.53031,2,2
Montreal,Apartment,30.0,2,Entire home/apt,Gay Village,-73.56503,45.52141,3,3
Montreal,Apartment,81.0,4,Entire home/apt,Le Plateau,-73.57922,45.52932,0,0
Montreal,Loft,70.0,5,Entire home/apt,Old Port,-73.55811,45.50213,261,261
Montreal,Apartment,30.0,4,Entire home/apt,Villeray-Saint-Michel-Parc-Extension,-73.61762,45.55405,17,17
Montreal,Apartment,75.0,4,Entire home/apt,Le Plateau,-73.58047,45.5188,82,82
Montreal,Apartment,85.0,2,Entire home/apt,Downtown Montreal,-73.57634,45.49135,3,3
Montreal,Apartment,301.0,1,Entire home/apt,0,-73.61238,45.53345,0,0
Montreal,Loft,125.0,2,Entire home/apt,Downtown Montreal,-73.58387,45.48879,0,0
Montreal,Apartment,60.0,4,Private room,0,-73.54141,45.5447,18,18
Montreal,Condominium,189.0,9,Entire home/apt,Montréal-Ouest,-73.65647,45.45558,2,2
Montreal,Apartment,58.0,4,Entire home/apt,La Petite-Patrie,-73.5972,45.54964,6,6
Montreal,Apartment,85.0,4,Entire home/apt,Le Plateau,-73.57471,45.53554,4,4
Montreal,Apartment,60.0,4,Entire home/apt,Le Plateau,-73.58701,45.53572,132,132
Montreal,Apartment,50.0,4,Entire home/apt,Downtown Montreal,-73.58189,45.49466,176,176
Montreal,Apartment,169.0,5,Entire home/apt,Downtown Montreal,-73.57454,45.49617,31,31
Montreal,Loft,250.0,4,Entire home/apt,Mercier-Hochelaga-Maisonneuve,-73.55593,45.59306,0,0
Montreal,Apartment,85.0,4,Entire home/apt,Verdun,-73.56827,45.46637,25,25
Montreal,Apartment,60.0,2,Entire home/apt,Mercier-Hochelaga-Maisonneuve,-73.54099,45.57756,87,87
Montreal,Apartment,79.0,4,Entire home/apt,Downtown Montreal,-73.55421,45.51421,3,3
Montreal,House,1746.0,1,Private room,0,-73.56126,45.65311,2,2
Montreal,House,229.0,6,Entire home/apt,Le Plateau,-73.57912,45.52563,11,11
Montreal,Apartment,50.0,3,Entire home/apt,Villeray-Saint-Michel-Parc-Extension,-73.61084,45.55447,50,50
Montreal,Apartment,180.0,12,Entire home/apt,Le Plateau,-73.59153,45.52026,5,5
Montreal,House,75.0,2,Entire home/apt,La Petite-Patrie,-73.60306,45.54571,20,20
Montreal,Apartment,140.0,4,Entire home/apt,Le Plateau,-73.58194,45.53002,4,4
Montreal,Apartment,27.0,2,Private room,Cote-des-Neiges,-73.63598,45.48981,39,39
Montreal,Apartment,110.0,2,Entire home/apt,Le Plateau,-73.58595,45.51881,3,3
Montreal,Condominium,36.0,2,Private room,La Petite-Patrie,-73.58724,45.54516,24,24
Montreal,House,199.0,4,Entire home/apt,La Petite-Patrie,-73.60038,45.53488,140,140
Montreal,Apartment,19.0,1,Private room,0,-73.51038,45.60982,22,22
Montreal,Apartment,44.0,2,Private room,Mile End,-73.5954,45.52042,92,92
Montreal,Apartment,46.0,2,Entire home/apt,0,-73.57725,45.58961,0,0
Montreal,Apartment,130.0,3,Entire home/apt,Downtown Montreal,-73.58207,45.49127,0,0
Montreal,Loft,68.0,1,Entire home/apt,Le Plateau,-73.57373,45.52331,23,23
Montreal,Apartment,89.0,2,Entire home/apt,Downtown Montreal,-73.59338,45.49621,0,0
Montreal,Apartment,40.0,3,Private room,Ville-Marie,-73.54921,45.52811,15,15
Montreal,Apartment,81.0,2,Entire home/apt,Ahuntsic-Cartierville,-73.62827,45.55369,2,2
Montreal,Apartment,34.0,4,Entire home/apt,Downtown Montreal,-73.57464,45.49069,104,104
Montreal,House,189.0,6,Entire home/apt,Le Plateau,-73.57801,45.53528,9,9
Montreal,Apartment,50.0,4,Entire home/apt,Parc-Extension,-73.62719,45.52577,2,2
Montreal,Apartment,75.0,4,Entire home/apt,Hochelaga-Maisonneuve,-73.53136,45.5558,21,21
Montreal,Apartment,99.0,2,Entire home/apt,Verdun,-73.56593,45.46158,64,64
