city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Barcelona,Apartment,25.0,1,Private room,Sant Martí de Provençals,2.1962,41.41737,34,34
Barcelona,Serviced apartment,129.0,6,Entire home/apt,Dreta de l'Eixample,2.17481,41.39243,71,71
Barcelona,House,230.0,10,Entire home/apt,Sants-Montjuïc,2.14759,41.35324,42,42
Barcelona,Apartment,38.0,2,Private room,0,2.1564,41.37864,37,37
0,Townhouse,24.0,1,Private room,El Poble-sec,2.15659,41.37207,0,0
Barcelona,Apartment,69.0,2,Private room,Dreta de l'Eixample,2.17533,41.39454,15,15
Barcelona,Apartment,27.0,2,Private room,Sants-Montjuïc,2.12421,41.3784,128,128
Barcelona,Apartment,38.0,3,Entire home/apt,La Barceloneta,2.19006,41.37787,1,1
Barcelona,Serviced apartment,76.0,2,Entire home/apt,El Gòtic,2.18198,41.38189,1,1
Barcelona,Apartment,29.0,1,Private room,Glòries - El Parc,2.18951,41.3918,18,18
Barcelona,Apartment,200.0,6,Entire home/apt,Dreta de l'Eixample,2.16589,41.39002,72,72
Barcelona,Apartment,24.0,2,Private room,0,2.18177,41.38667,25,25
Barcelona,Apartment,50.0,2,Private room,Sant Antoni,2.15988,41.3767,66,66
Barcelona,Apartment,20.0,1,Private room,0,2.1823,41.40208,6,6
Barcelona,Apartment,100.0,5,Entire home/apt,La Sagrada Família,2.17648,41.41089,38,38
Barcelona,Apartment,130.0,5,Entire home/apt,Camp d'en Grassot i Gràcia Nova,2.17532,41.38977,397,397
Barcelona,Apartment,38.0,3,Entire home/apt,La Barceloneta,2.18864,41.3815,1,1
Barcelona,Serviced apartment,195.0,4,Entire home/apt,Dreta de l'Eixample,2.14969,41.39367,5,5
Barcelona,Apartment,150.0,6,Entire home/apt,El Gòtic,2.17518,41.37998,117,117
Barcelona,Apartment,18.0,1,Private room,La Sagrada Família,2.17505,41.40975,35,35
Barcelona,Apartment,32.0,2,Private room,0,2.17228,41.39785,27,27
Barcelona,Boat,35.0,2,Private room,0,2.22733,41.41004,24,24
Barcelona,Apartment,62.0,6,Entire home/apt,Sarrià,2.14984,41.4025,1,1
Barcelona,Apartment,23.0,2,Private room,Sants-Montjuïc,2.12841,41.37419,23,23
Barcelona,Apartment,85.0,5,Entire home/apt,El Clot,2.19013,41.40625,226,226
Barcelona,House,31.0,2,Private room,0,2.15739,41.42255,63,63
Barcelona,Other,15.0,1,Private room,0,2.13237,41.37549,3,3
Barcelona,Apartment,18.0,1,Private room,0,2.1633,41.37391,115,115
Barcelona,Apartment,15.0,1,Private room,0,2.18227,41.3859,15,15
Barcelona,Villa,95.0,2,Private room,0,2.11732,41.41753,89,89
Barcelona,Apartment,39.0,1,Private room,L'Antiga Esquerra de l'Eixample,2.1509,41.39106,67,67
Barcelona,Apartment,209.0,10,Entire home/apt,La Barceloneta,2.16296,41.37339,25,25
Barcelona,Serviced apartment,599.0,4,Entire home/apt,Dreta de l'Eixample,2.1644,41.38926,26,26
Barcelona,Apartment,60.0,4,Entire home/apt,La Sagrada Família,2.17178,41.40631,97,97
Barcelona,Apartment,35.0,2,Private room,0,2.17689,41.39044,48,48
Barcelona,Apartment,30.0,2,Private room,Dreta de l'Eixample,2.17652,41.39574,2,2
Barcelona,Apartment,101.0,4,Entire home/apt,Vila de Gràcia,2.15555,41.39696,2,2
Barcelona,Apartment,43.0,4,Entire home/apt,0,2.17934,41.38052,15,15
Barcelona,Apartment,60.0,4,Entire home/apt,La Sagrada Família,2.17784,41.40775,88,88
Barcelona,Apartment,40.0,2,Private room,El Born,2.18067,41.38542,135,135
Barcelona,Tiny house,110.0,3,Entire home/apt,Sant Antoni,2.16651,41.37247,83,83
Barcelona,Apartment,60.0,2,Private room,Dreta de l'Eixample,2.16991,41.39598,28,28
