city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Hong Kong,Apartment,369.0,1,Shared room,Quarry Bay,114.20927,22.28857,2,2
Hong Kong,Condominium,11681.0,5,Shared room,0,114.10809,22.39939,1,1
Hong Kong,Apartment,322.0,1,Private room,Wan Chai,114.17694,22.27757,32,32
Hong Kong,Apartment,950.0,2,Entire home/apt,Sheung Wan,114.14609,22.2853,2,2
Hong Kong,Apartment,573.0,2,Entire home/apt,Sai Ying Pun,114.14315,22.28855,9,9
Hong Kong,Apartment,1201.0,3,Entire home/apt,Sheung Wan,114.14311,22.28586,38,38
Hong Kong,Apartment,801.0,2,Entire home/apt,Sheung Wan,114.15013,22.28458,9,9
Hong Kong,Apartment,1374.0,2,Private room,0,114.2265,22.23514,0,0
Hong Kong,Apartment,997.0,6,Entire home/apt,Fortress Hill,114.19362,22.28933,6,6
Hong Kong,Apartment,1562.0,9,Entire home/apt,Tai Kok Sui,114.17509,22.29879,43,43
Hong Kong,Apartment,1499.0,3,Entire home/apt,Wan Chai,114.16853,22.2751,9,9
Hong Kong,Apartment,440.0,2,Entire home/apt,Sheung Wan,114.14587,22.28754,5,5
Hong Kong,Guesthouse,298.0,2,Private room,Mong Kok,114.17062,22.30908,2,2
Hong Kong,Apartment,181.0,1,Private room,Shek Kip Mei,114.16676,22.33107,72,72
Hong Kong,Apartment,361.0,2,Private room,0,114.17511,22.27735,83,83
Hong Kong,Apartment,1303.0,8,Entire home/apt,Wan Chai,114.17739,22.2779,73,73
Hong Kong,Apartment,793.0,2,Entire home/apt,Wan Chai,114.16813,22.27564,138,138
Hong Kong,Hostel,652.0,3,Private room,Causeway Bay,114.18591,22.28275,8,8
Hong Kong,Serviced apartment,573.0,1,Entire home/apt,Causeway Bay,114.15042,22.28746,1,1
Hong Kong,Apartment,675.0,1,Private room,0,114.19518,22.2893,0,0
Hong Kong,Apartment,1397.0,4,Entire home/apt,Sai Ying Pun,114.14013,22.28699,10,10
Hong Kong,Apartment,722.0,2,Entire home/apt,0,114.15171,22.28138,6,6
Hong Kong,Apartment,330.0,2,Private room,0,114.03646,22.4435,9,9
Hong Kong,Apartment,801.0,3,Entire home/apt,Wan Chai,114.17171,22.279,100,100
Hong Kong,Apartment,353.0,2,Private room,0,114.27299,22.29456,7,7
Hong Kong,Apartment,361.0,2,Private room,0,114.16634,22.30716,348,348
Hong Kong,Apartment,440.0,2,Private room,Sheung Wan,114.14881,22.28815,16,16
Hong Kong,Apartment,495.0,2,Entire home/apt,0,114.17391,22.27557,0,0
Hong Kong,Apartment,714.0,3,Entire home/apt,Sai Ying Pun,114.14149,22.28652,14,14
Hong Kong,Apartment,251.0,1,Private room,North Point,114.20205,22.29117,1,1
Hong Kong,Apartment,314.0,1,Private room,0,114.14695,22.28824,2,2
Hong Kong,Apartment,2496.0,3,Entire home/apt,Sheung Wan,114.1486,22.28435,12,12
Hong Kong,Apartment,589.0,2,Entire home/apt,Kennedy Town,114.12801,22.28243,2,2
Hong Kong,Apartment,801.0,4,Entire home/apt,0,114.15288,22.28166,25,25
Hong Kong,Apartment,314.0,1,Private room,0,114.27374,22.29665,11,11
Hong Kong,Apartment,236.0,1,Entire home/apt,Tai Kok Sui,114.16681,22.30852,9,9
Hong Kong,Apartment,659.0,2,Entire home/apt,Causeway Bay,114.15234,22.28427,0,0
Hong Kong,Apartment,699.0,6,Entire home/apt,Wan Chai,114.17789,22.27669,126,126
Hong Kong,Boutique hotel,298.0,2,Private room,Mong Kok,114.1696,22.3062,19,19
Hong Kong,Apartment,652.0,2,Entire home/apt,Sai Ying Pun,114.14154,22.28531,27,27
Hong Kong,Apartment,502.0,2,Private room,Causeway Bay,114.1827,22.27967,82,82
Hong Kong,Apartment,981.0,5,Entire home/apt,Tsim Sha Tsui,114.17455,22.2993,97,97
Hong Kong,Townhouse,377.0,1,Private room,0,114.24231,22.35633,12,12
Hong Kong,Apartment,699.0,2,Shared room,0,114.14722,22.28654,0,0
Hong Kong,Apartment,620.0,2,Entire home/apt,0,114.11165,22.22789,7,7
Hong Kong,Guest suite,251.0,1,Private room,Mong Kok,114.17222,22.31859,13,13
Hong Kong,Loft,754.0,3,Entire home/apt,Kennedy Town,114.12663,22.28314,14,14
Hong Kong,Apartment,699.0,2,Entire home/apt,0,114.14856,22.28627,25,25
Hong Kong,Apartment,997.0,3,Entire home/apt,0,114.15399,22.28259,24,24
Hong Kong,Serviced apartment,353.0,2,Private room,Mong Kok,114.16735,22.32234,64,64
Hong Kong,Apartment,314.0,2,Entire home/apt,Wan Chai,114.17872,22.2795,0,0
Hong Kong,Apartment,1484.0,9,Entire home/apt,Mong Kok,114.16989,22.31377,27,27
Hong Kong,Serviced apartment,338.0,2,Private room,Mong Kok,114.16922,22.32124,65,65
Hong Kong,Apartment,196.0,1,Private room,Shek Tong Tsui,114.13011,22.28175,4,4
Hong Kong,Apartment,447.0,2,Entire home/apt,Causeway Bay,114.18182,22.28134,88,88
Hong Kong,Apartment,699.0,4,Entire home/apt,0,114.27492,22.29569,2,2
Hong Kong,Apartment,761.0,5,Entire home/apt,Sham Shui Po,114.15214,22.28256,11,11
Hong Kong,Apartment,314.0,2,Shared room,Mid-Levels,114.15007,22.28215,41,41
Hong Kong,Apartment,801.0,2,Entire home/apt,Kennedy Town,114.12722,22.28271,6,6
Hong Kong,Apartment,400.0,2,Private room,Tsim Sha Tsui,114.17143,22.29891,71,71
Hong Kong,Apartment,589.0,4,Entire home/apt,Tai Kok Sui,114.17048,22.31162,10,10
Hong Kong,Apartment,1397.0,12,Entire home/apt,Mong Kok,114.17134,22.31326,9,9
Hong Kong,Apartment,181.0,1,Private room,Mong Kok,114.17016,22.32113,0,0
Hong Kong,Apartment,353.0,1,Private room,0,114.28777,22.39392,6,6
Hong Kong,Guest suite,447.0,1,Private room,0,114.1705,22.31998,0,0
Hong Kong,Apartment,903.0,4,Entire home/apt,Soho,114.15086,22.28056,1,1
Hong Kong,Apartment,683.0,4,Entire home/apt,Hung Hom,114.18214,22.30627,44,44
Hong Kong,Apartment,589.0,2,Entire home/apt,Shek Tong Tsui,114.13245,22.28357,3,3
